Date, Name, GPX File, Elevation Gain (ft), Elevation Loss (ft), Total Distance (mi)
20170617,20170617_Lake_Serene_Bridal_Veil_Falls,20170617_Lake_Serene_Bridal_Veil_Falls.GPX,2965,-2914,9.07
20170624,20170624_TalapusTH_Tuscohatchie copy,20170624_TalapusTH_Tuscohatchie copy.GPX,0,0,0
20170624,20170624_TalapusTH_Tuscohatchie,20170624_TalapusTH_Tuscohatchie.GPX,1961,-1182,6.61
20170624,20170624_Tuscohatchie_Kaleetan_RT,20170624_Tuscohatchie_Kaleetan_RT.GPX,2389,-2383,6.49
20170625,20170625_Tuscohatchie_TalapusTH,20170625_Tuscohatchie_TalapusTH.GPX,1195,-1960,6.36
20170701,20170701_Church_Mountain_RT,20170701_Church_Mountain_RT.GPX,3870,-3840,9.11
20170722,20170722_Sauk_Mountain,20170722_Sauk_Mountain.GPX,1429,-1412,4.05
20170723,20170723_Lake_Valhalla_Janus_1,20170723_Lake_Valhalla_Janus_1.GPX,1416,-646,5.89
20170723,20170723_Lake_Valhalla_Janus_2,20170723_Lake_Valhalla_Janus_2.GPX,2502,-3201,14.3
20170728,20170728_Mt_Pilchuck,20170728_Mt_Pilchuck.GPX,2194,-124,2.93
20170729,20170729_Silver_Abiel_Tinkham,20170729_Silver_Abiel_Tinkham.GPX,4309,-4375,10.47
20170819,20170819_Lake_Colchuck_TH_to_Core_Enchantments,20170819_Lake_Colchuck_TH_to_Core_Enchantments.GPX,6540,-4440,14.75
20170820,20170820_Lake_Colchuck_to_TH,20170820_Lake_Colchuck_to_TH.GPX,403,-2503,4.45
20170821,20170821_TH_to_Park_Butte,20170821_TH_to_Park_Butte.GPX,1693,-226,3.71
20170822,20170822_Park_Butte_Lookout,20170822_Park_Butte_Lookout.GPX,656,-70,0.92
20170823,20170823_Park_Butte_Lookout_to_TH,20170823_Park_Butte_Lookout_to_TH.GPX,175,-2230,4.32
20170825,20170825_Stevens_Pass_TH_to_Pear_Lake,20170825_Stevens_Pass_TH_to_Pear_Lake.GPX,4741,-4039,19.51
20170826,20170826_Pear_Lake_to_Stevens_Pass_TH,20170826_Pear_Lake_to_Stevens_Pass_TH.GPX,4026,-4766,19.47
20180204,20180204_Tiger_Mountain,20180204_Tiger_Mountain.gpx,5733,-5719,9.87
20180526,20180526_Talapus_Lake_TH_to_Lower_Tuscohatchie_Lake,20180526_Talapus_Lake_TH_to_Lower_Tuscohatchie_Lake.gpx,2083,-1561,7.64
20180527,20180527_Lower_Tuscohatchie_Lake_to_Talapus_Lake_TH,20180527_Lower_Tuscohatchie_Lake_to_Talapus_Lake_TH.gpx,1241,-2035,6.99
20180528,20180528_Shi_Shi_Beach,20180528_Shi_Shi_Beach.gpx,1281,-1244,9.95
20190309,20190309_Shi_Shi_Beach,20190309_Shi_Shi_Beach.gpx,348,-419,2.3
